time,confirmed,change_confirmed,recovered,change_recovered,deaths,change_deaths
2021-03-21 00:00:00,2670001,0.0002877231024792515,2426700,0.0030620528650530817,74756,0.000669290284582229
2021-03-22 00:00:00,2678262,0.0030940063318328345,2437183,0.004319858243705443,75009,0.0033843437316068274
2021-03-23 00:00:00,2699231,0.00782933111099661,2448828,0.004778057289912165,75255,0.003279606447226333
2021-03-24 00:00:00,2722988,0.008801395656762983,2460019,0.0045699412126943995,75484,0.0030429871769317653
2021-03-25 00:00:00,2744608,0.007939807299921997,2471558,0.004690614178183177,75669,0.002450850511366647
2021-03-26 00:00:00,2765297,0.007538052792967156,2481908,0.004187641965108648,75828,0.002101256789438211
2021-03-27 00:00:00,2782925,0.006374722136537233,2489198,0.0029372563366571202,75915,0.0011473334388352587
2021-03-28 00:00:00,2784652,0.0006205700836350243,2499010,0.003941831867131502,75959,0.0005795956003424883
2021-03-29 00:00:00,2794949,0.0036977690569593613,2511417,0.004964766047354753,76139,0.0023696994431206308
2021-03-30 00:00:00,2818630,0.008472784297674125,2525580,0.005639445779016388,76389,0.0032834683933332456
2021-03-31 00:00:00,2843644,0.008874524148256423,2539660,0.005574957039571109,76589,0.0026181780099228946
2021-04-01 00:00:00,2866323,0.007975330245276835,2552020,0.004866793192789586,76823,0.003055269033412109
2021-04-02 00:00:00,2882356,0.005593577555634868,2566530,0.005685692118400326,76940,0.0015229813987998385
2021-04-03 00:00:00,2886029,0.0012743047701255501,2575740,0.0035885027644329114,77010,0.0009097998440343125
2021-04-04 00:00:00,2896329,0.0035689177066481315,2585850,0.003925085606466491,77060,0.0006492663290481755
2021-04-05 00:00:00,2902309,0.0020646825688656226,2587580,0.000669025658874258,77136,0.0009862444848170258
2021-04-06 00:00:00,2909902,0.00261619283129398,2604890,0.006689648242759644,77245,0.0014130885708359261
2021-04-07 00:00:00,2940279,0.010439183175240953,2638320,0.012833555351665521,77755,0.006602369085377694
2021-04-08 00:00:00,2966789,0.00901615118837362,2640300,0.0007504775766396798,78049,0.003781107324287827
2021-04-09 00:00:00,2990724,0.0080676448510494,2654930,0.005541037003370829,78295,0.0031518661353764944
2021-04-10 00:00:00,3009452,0.006262028859901482,2668910,0.005265675554534394,78402,0.001366626221342359
2021-04-11 00:00:00,3012158,0.0008991670244283677,2692230,0.00873764945239817,78500,0.0012499681130583404
2021-04-12 00:00:00,3024604,0.004131921366674656,2708320,0.0059764581777931305,78796,0.0037707006369426753
2021-04-13 00:00:00,3054025,0.009727223795247245,2726910,0.0068640337921663614,79137,0.00432763084420529
2021-04-14 00:00:00,3085142,0.010188849141706436,2744940,0.006611879379957534,79427,0.00366453112956013
2021-04-15 00:00:00,3110252,0.008139009484814637,2747460,0.0009180528536142866,79672,0.003084593400229141
2021-04-16 00:00:00,3134108,0.007670118048312484,2763260,0.005750766162200723,79894,0.002786424339793152
2021-04-17 00:00:00,3154305,0.006444257823916725,2784540,0.007701048761245775,79971,0.0009637770045310036
2021-04-18 00:00:00,3155522,0.00038582191639679737,2795080,0.003785185344796627,80052,0.0010128671643470759
2021-04-19 00:00:00,3167137,0.0036808490005774005,2811890,0.0060141391301858985,80353,0.0037600559636236444
2021-04-20 00:00:00,3198534,0.009913369708983223,2831440,0.006952619056933237,80680,0.004069543140890819
2021-04-21 00:00:00,3222888,0.007614113215616904,2852890,0.007575650552369113,80938,0.0031978185423896877
2021-04-22 00:00:00,3254609,0.009842414629363477,2856510,0.001268888740890816,81203,0.003274111047962638
2021-04-23 00:00:00,3276871,0.006840145774807358,2876690,0.007064564801103445,81492,0.0035589818110168345
2021-04-24 00:00:00,3291293,0.004401149755361136,2902900,0.009111165958097675,81610,0.0014479948952044372
2021-04-25 00:00:00,3306692,0.004678708337422405,2917730,0.005108684419029247,81671,0.0007474574194338929
2021-04-26 00:00:00,3312653,0.001802707963124476,2939900,0.007598372707550047,82009,0.004138555913359699
2021-04-27 00:00:00,3338564,0.007821827399368422,2960900,0.0071431001054457635,82325,0.003853235620480679
2021-04-28 00:00:00,3366827,0.008465615755756068,2966590,0.0019217129926711472,82588,0.00319465532948679
2021-04-29 00:00:00,3391039,0.0071913406896166624,2987910,0.007186702577707064,82865,0.003353998159538916
2021-04-30 00:00:00,3405365,0.0042246638862012496,3008640,0.006937959978714219,83097,0.0027997345079345923
2021-05-01 00:00:00,3423900,0.005442882040544847,3025120,0.0054775579663901295,83207,0.0013237541668170932
2021-05-02 00:00:00,3432676,0.002563158970764333,3051730,0.008796345268948009,83292,0.001021548667780355
2021-05-03 00:00:00,3438186,0.0016051616872667272,3053770,0.0006684732921981958,83605,0.003757863900494645
2021-05-04 00:00:00,3462297,0.007012709609078741,3075230,0.0070273792721783235,83890,0.003408887028287782
2021-05-05 00:00:00,3484755,0.006486445270293103,3118660,0.014122520917134654,84141,0.0029920133508165455
2021-05-06 00:00:00,3502672,0.005141537927343529,3140330,0.006948497110938672,84425,0.0033752867210991074
2021-05-07 00:00:00,3517762,0.004308139614557115,3142640,0.0007355914824238217,84659,0.002771690849866746
2021-05-08 00:00:00,3530887,0.0037310653762249978,3160630,0.00572448641906168,84789,0.001535572118735161
2021-05-09 00:00:00,3530887,0.0,3187100,0.008374912596539297,84844,0.0006486690490511741
2021-05-10 00:00:00,3538208,0.0020734166797181557,3188710,0.000505161432022842,85118,0.0032294564141247466
2021-05-11 00:00:00,3557904,0.005566659732836509,3231090,0.013290641042929586,85385,0.0031368218238210484
2021-05-12 00:00:00,3564494,0.0018522141125786418,3233630,0.0007861124264567066,85451,0.0007729694911284183
2021-05-13 00:00:00,3578125,0.003824105188562528,3268190,0.010687679171704864,85853,0.004704450503797498
2021-05-14 00:00:00,3588502,0.002900122270742358,3284300,0.00492933397385097,86030,0.002061663541169208
2021-05-15 00:00:00,3595872,0.0020537817730072326,3292700,0.002557622628870688,86100,0.0008136696501220504
2021-05-16 00:00:00,3602939,0.0019653091100016906,3306260,0.004118200868588088,86166,0.0007665505226480836
2021-05-17 00:00:00,3608320,0.0014935029430140226,3323190,0.005120589427328764,86386,0.0025532112434138755
2021-05-18 00:00:00,3615896,0.00209959205391983,3342350,0.005765544552071955,86671,0.003299145694904267
2021-05-19 00:00:00,3627777,0.0032857692809748953,3359530,0.005140096040211229,86908,0.0027344786606823507
2021-05-20 00:00:00,3638504,0.0029569072189387607,3376100,0.004932237545132802,87135,0.0026119574722695263
2021-05-21 00:00:00,3646600,0.0022250903118424497,3390400,0.004235656526761648,87303,0.0019280426923739026
2021-05-22 00:00:00,3653019,0.001760269840399276,3398700,0.002448088721094856,87385,0.0009392575283781771
2021-05-23 00:00:00,3657662,0.0012710035179121708,3410040,0.0033365698649483627,87429,0.0005035189105681753
2021-05-24 00:00:00,3659990,0.00063647215078922,3425380,0.004498480956235117,87461,0.0003660112777224948
2021-05-25 00:00:00,3662568,0.0007043735092172383,3439570,0.004142606075822244,87733,0.003109957581093287
2021-05-26 00:00:00,3667041,0.0012212742534746111,3452290,0.0036981366856903624,88000,0.0030433246326923733
2021-05-27 00:00:00,3673990,0.0018949883570977253,3463130,0.003139944790269647,88192,0.002181818181818182
2021-05-28 00:00:00,3680159,0.0016791009229747496,3472650,0.002748958312278199,88360,0.001904934687953556
2021-05-29 00:00:00,3684672,0.001226305711247802,3479700,0.0020301498855341024,88413,0.000599818922589407
2021-05-30 00:00:00,3687715,0.0008258536987824154,3487850,0.0023421559329827282,88431,0.00020358996980082114
2021-05-31 00:00:00,3689921,0.0005982024098933892,3498580,0.0030763937669337845,88601,0.0019224027773066007
